Person,Year,Award,Award Name
Abhiram Diddigi,2013,Member of the Month,2013 Member of the Month
David Legend,2013,Member of the Month,2013 Member of the Month
Jace Benson,2013,Member of the Month,2013 Member of the Month
Mark Stanger,2013,Member of the Month,2013 Member of the Month
Terri Welch,2013,Member of the Month,2013 Member of the Month
Bhavesh Jain,2015,Community MVP,2015 Community MVP
Brad Tilton,2015,Community MVP,2015 Community MVP
Doug Andrews,2015,Community MVP,2015 Community MVP
Harikrishnan Vijayan,2015,Community MVP,2015 Community MVP
Jim Coyne,2015,Community MVP,2015 Community MVP
Kalaiarasan Pushpanathan,2015,Community MVP,2015 Community MVP
Mark Stanger,2015,Community MVP,2015 Community MVP
Slava Savitsky,2015,Community MVP,2015 Community MVP
Subhajit Das,2015,Community MVP,2015 Community MVP
Travis Toulson,2015,Community MVP,2015 Community MVP
Anurag Tripathi,2016,Community MVP,2016 Community MVP
Berny Alvarado,2016,Community MVP,2016 Community MVP
Brad Tilton,2016,Community MVP,2016 Community MVP
Deepak Ingale,2016,Community MVP,2016 Community MVP
Gurpeet Singh,2016,Community MVP,2016 Community MVP
Harish Murikinati,2016,Community MVP,2016 Community MVP
Jim Coyne,2016,Community MVP,2016 Community MVP
Kalaiarasan Pushpanathan,2016,Community MVP,2016 Community MVP
Michael Fry,2016,Community MVP,2016 Community MVP
Mike Allen,2016,Community MVP,2016 Community MVP
Robert Fedoruk,2016,Community MVP,2016 Community MVP
Steve Bell,2016,Community MVP,2016 Community MVP
Tanaji Patil,2016,Community MVP,2016 Community MVP
Travis Toulson,2016,Community MVP,2016 Community MVP
Abhinay E,2017,Community MVP,2017 Community MVP
Anurag Tripathi,2017,Community MVP,2017 Community MVP
Berny Alvarado,2017,Community MVP,2017 Community MVP
Brian Dailey,2017,Community MVP,2017 Community MVP
Deepa Srivastava,2017,Community MVP,2017 Community MVP
Deepak Ingale,2017,Community MVP,2017 Community MVP
Deepak Kumar,2017,Community MVP,2017 Community MVP
Goran Lundqvist,2017,Community MVP,2017 Community MVP
Kalaiarasan Pushpanathan,2017,Community MVP,2017 Community MVP
Michael Fry,2017,Community MVP,2017 Community MVP
Mihir Mohanta,2017,Community MVP,2017 Community MVP
Mike Allen,2017,Community MVP,2017 Community MVP
Robert Fedoruk,2017,Community MVP,2017 Community MVP
Srinivas Thelu,2017,Community MVP,2017 Community MVP
Steve Bell,2017,Community MVP,2017 Community MVP
Abhinay E,2018,Community MVP,2018 Community MVP
Alikutty Karupamveetil,2018,Community MVP,2018 Community MVP
Amlan Pal,2018,Community MVP,2018 Community MVP
Ankur Bawiskar,2018,Community MVP,2018 Community MVP
Anurag Jain,2018,Community MVP,2018 Community MVP
Anurag Tripathi,2018,Community MVP,2018 Community MVP
Berny Alvarado,2018,Community MVP,2018 Community MVP
Dinesh Penumetcha,2018,Community MVP,2018 Community MVP
Gaurav Bajaj,2018,Community MVP,2018 Community MVP
Goran Lundqvist,2018,Community MVP,2018 Community MVP
Harish Kumar,2018,Community MVP,2018 Community MVP
Harsh Vardhan,2018,Community MVP,2018 Community MVP
Jaspal Singh,2018,Community MVP,2018 Community MVP
Jim Coyne,2018,Community MVP,2018 Community MVP
Kalaiarasan Pushpanathan,2018,Community MVP,2018 Community MVP
Karthik Reddy,2018,Community MVP,2018 Community MVP
Michael Fry,2018,Community MVP,2018 Community MVP
Mike Allen,2018,Community MVP,2018 Community MVP
Robert Fedoruk,2018,Community MVP,2018 Community MVP
Sachin Namjoshi,2018,Community MVP,2018 Community MVP
Sanjiv Meher,2018,Community MVP,2018 Community MVP
Shishir Srivastava,2018,Community MVP,2018 Community MVP
Shloke Srivastava,2018,Community MVP,2018 Community MVP
Sneha Binani,2018,Community MVP,2018 Community MVP
Steve Bell,2018,Community MVP,2018 Community MVP
Surya Amara,2018,Community MVP,2018 Community MVP
Abhinay E,2019,Community MVP,2019 Community MVP
Alikutty Karupamveetil,2019,Community MVP,2019 Community MVP
Allen Andreas,2019,Community MVP,2019 Community MVP
Ankur Bawiskar,2019,Community MVP,2019 Community MVP
Anurag Tripathi,2019,Community MVP,2019 Community MVP
Ashutosh Munot,2019,Community MVP,2019 Community MVP
David Dubuis,2019,Community MVP,2019 Community MVP
Goran Lundqvist,2019,Community MVP,2019 Community MVP
Harsh Vardhan,2019,Community MVP,2019 Community MVP
Jaspal Singh,2019,Community MVP,2019 Community MVP
Jim Coyne,2019,Community MVP,2019 Community MVP
Jon Barnes,2019,Community MVP,2019 Community MVP
Mark Stanger,2019,Community MVP,2019 Community MVP
Michael Fry,2019,Community MVP,2019 Community MVP
Mike Patel,2019,Community MVP,2019 Community MVP
Robert Fedoruk,2019,Community MVP,2019 Community MVP
Sachin Namjoshi,2019,Community MVP,2019 Community MVP
Sanjiv Meher,2019,Community MVP,2019 Community MVP
Shishir Srivastava,2019,Community MVP,2019 Community MVP
Steve Bell,2019,Community MVP,2019 Community MVP
Aashish Atrey,2020,Developer MVP,2020 Developer MVP
Abhishek Gardade,2020,Community MVP,2020 Community MVP
Adam Stout,2020,Community MVP,2020 Community MVP
Alberto Consonni,2020,Community MVP,2020 Community MVP
Alikutty Karupamveetil,2020,Developer MVP,2020 Developer MVP
Alikutty Karupamveetil,2020,Community MVP,2020 Community MVP
Allen Andreas,2020,Community MVP,2020 Community MVP
Anders Figenschow,2020,Developer MVP,2020 Developer MVP
Andrew Albury-Dor,2020,Developer MVP,2020 Developer MVP
Andrew Barnes,2020,Developer MVP,2020 Developer MVP
Andrew Pishchulin,2020,Developer MVP,2020 Developer MVP
Ankur Bawiskar,2020,Community MVP,2020 Community MVP
Ankur Bawiskar,2020,Developer MVP,2020 Developer MVP
Anurag Tripathi,2020,Community MVP,2020 Community MVP
Ashley Snyder,2020,Developer MVP,2020 Developer MVP
Ashutosh Munot,2020,Developer MVP,2020 Developer MVP
Ashutosh Munot,2020,Community MVP,2020 Community MVP
Asif Noor,2020,Community MVP,2020 Community MVP
Brad Tilton,2020,Community MVP,2020 Community MVP
Brad Tilton,2020,Developer MVP,2020 Developer MVP
Brian Lancaster,2020,Community MVP,2020 Community MVP
Casey Barela,2020,Developer MVP,2020 Developer MVP
Chuck Tomasi,2020,Community MVP,2020 Community MVP
Cory CJ Wesley,2020,Developer MVP,2020 Developer MVP
David Dubuis,2020,Community MVP,2020 Community MVP
Dhruv Gupta,2020,Developer MVP,2020 Developer MVP
Dinesh Penumetcha,2020,Community MVP,2020 Community MVP
Earl Duque,2020,Developer MVP,2020 Developer MVP
Elijah Aromola,2020,Community MVP,2020 Community MVP
Eric Riemer,2020,Developer MVP,2020 Developer MVP
Gaurav Chaoudhury,2020,Developer MVP,2020 Developer MVP
Goran Lundqvist,2020,Community MVP,2020 Community MVP
Harkik Benani,2020,Developer MVP,2020 Developer MVP
Harsh Vardhan,2020,Community MVP,2020 Community MVP
Jace Benson,2020,Community MVP,2020 Community MVP
Jace Benson,2020,Developer MVP,2020 Developer MVP
Jarod Mundt,2020,Developer MVP,2020 Developer MVP
Jaspal Singh,2020,Community MVP,2020 Community MVP
Jim Coyne,2020,Developer MVP,2020 Developer MVP
Kalaiarasan Pushpanathan,2020,Developer MVP,2020 Developer MVP
Kieran Anson,2020,Developer MVP,2020 Developer MVP
Kopal Garg,2020,Developer MVP,2020 Developer MVP
Mark Roethof,2020,Community MVP,2020 Community MVP
Mark Roethof,2020,Developer MVP,2020 Developer MVP
Mark Scott,2020,Developer MVP,2020 Developer MVP
MGOPW,2020,Developer MVP,2020 Developer MVP
Michael Fry,2020,Community MVP,2020 Community MVP
Michael Ritchie,2020,Community MVP,2020 Community MVP
Mike Patel,2020,Community MVP,2020 Community MVP
Muhammad Sharjeel,2020,Developer MVP,2020 Developer MVP
Munota Shutosh,2020,Developer MVP,2020 Developer MVP
Nathan Firth,2020,Developer MVP,2020 Developer MVP
Nia McCash,2020,Developer MVP,2020 Developer MVP
Omkar Mone,2020,Community MVP,2020 Community MVP
Paige Duffey,2020,Developer MVP,2020 Developer MVP
Paul Morris,2020,Community MVP,2020 Community MVP
Paul Morris,2020,Developer MVP,2020 Developer MVP
Pradeep Sharma,2020,Community MVP,2020 Community MVP
Pranav Bhagat,2020,Developer MVP,2020 Developer MVP
Prateek Kumar,2020,Community MVP,2020 Community MVP
Robert Fedoruk,2020,Community MVP,2020 Community MVP
Robert Fedoruk,2020,Developer MVP,2020 Developer MVP
Sachin Namjoshi,2020,Community MVP,2020 Community MVP
Sanjiv Meher,2020,Community MVP,2020 Community MVP
Sarah Toulson,2020,Developer MVP,2020 Developer MVP
Sharon Barnes,2020,Developer MVP,2020 Developer MVP
Steve Bell,2020,Community MVP,2020 Community MVP
Sumeet Ninawe,2020,Developer MVP,2020 Developer MVP
Tanvi Gokhale,2020,Developer MVP,2020 Developer MVP
Tiffany Royer,2020,Developer MVP,2020 Developer MVP
Travis Toulson,2020,Developer MVP,2020 Developer MVP
Vignesh M,2020,Community MVP,2020 Community MVP
Aashish Atrey,2021,Developer MVP,2021 Developer MVP
Abhishek Gardade,2021,Community MVP,2021 Community MVP
Adam Stout,2021,Community MVP,2021 Community MVP
Alberto Consonni,2021,Community MVP,2021 Community MVP
Alikutty Karupamveetil,2021,Developer MVP,2021 Developer MVP
Alikutty Karupamveetil,2021,Community MVP,2021 Community MVP
Allen Andreas,2021,Community MVP,2021 Community MVP
Anders Figenschow,2021,Developer MVP,2021 Developer MVP
Andrew Albury-Dor,2021,Developer MVP,2021 Developer MVP
Andrew Pishchulin,2021,Developer MVP,2021 Developer MVP
Ankur Bawiskar,2021,Community MVP,2021 Community MVP
Ankur Bawiskar,2021,Developer MVP,2021 Developer MVP
Anurag Tripathi,2021,Community MVP,2021 Community MVP
Ashley Snyder,2021,Developer MVP,2021 Developer MVP
Ashutosh Munot,2021,Developer MVP,2021 Developer MVP
Ashutosh Munot,2021,Community MVP,2021 Community MVP
Asif Noor,2021,Community MVP,2021 Community MVP
Brad Bowman,2021,Community MVP,2021 Community MVP
Brad Tilton,2021,Community MVP,2021 Community MVP
Brian Lancaster,2021,Community MVP,2021 Community MVP
Chuck Tomasi,2021,Community MVP,2021 Community MVP
David Dubuis,2021,Community MVP,2021 Community MVP
Dhruv Gupta,2021,Developer MVP,2021 Developer MVP
Dinesh Penumetcha,2021,Community MVP,2021 Community MVP
Dirk Redeker,2021,Community MVP,2021 Community MVP
Earl Duque,2021,Developer MVP,2021 Developer MVP
Elijah Aromola,2021,Community MVP,2021 Community MVP
Eric Riemer,2021,Developer MVP,2021 Developer MVP
Goran Lundqvist,2021,Community MVP,2021 Community MVP
Harsh Vardhan,2021,Community MVP,2021 Community MVP
Jace Benson,2021,Community MVP,2021 Community MVP
Jace Benson,2021,Developer MVP,2021 Developer MVP
Jarod Mundt,2021,Developer MVP,2021 Developer MVP
Jaspal Singh,2021,Community MVP,2021 Community MVP
Kieran Anson,2021,Community MVP,2021 Community MVP
Kieran Anson,2021,Developer MVP,2021 Developer MVP
Mark Roethof,2021,Community MVP,2021 Community MVP
Mark Roethof,2021,Developer MVP,2021 Developer MVP
MGOPW,2021,Developer MVP,2021 Developer MVP
Michael Fry,2021,Community MVP,2021 Community MVP
Michael Jones,2021,Community MVP,2021 Community MVP
Michael Ritchie,2021,Community MVP,2021 Community MVP
Miguel Donayre,2021,Community MVP,2021 Community MVP
Mike Patel,2021,Community MVP,2021 Community MVP
Muhammad Sharjeel,2021,Community MVP,2021 Community MVP
Muhammad Sharjeel,2021,Developer MVP,2021 Developer MVP
Munota Shutosh,2021,Developer MVP,2021 Developer MVP
Nathan Firth,2021,Developer MVP,2021 Developer MVP
Nia McCash,2021,Developer MVP,2021 Developer MVP
Omkar Mone,2021,Community MVP,2021 Community MVP
Paige Duffey,2021,Developer MVP,2021 Developer MVP
Paul Morris,2021,Community MVP,2021 Community MVP
Paul Morris,2021,Developer MVP,2021 Developer MVP
Philip Swann,2021,Developer MVP,2021 Developer MVP
Pradeep Sharma,2021,Community MVP,2021 Community MVP
Pranav Bhagat,2021,Community MVP,2021 Community MVP
Prateek Kumar,2021,Community MVP,2021 Community MVP
Robert Fedoruk,2021,Community MVP,2021 Community MVP
Robert Fedoruk,2021,Developer MVP,2021 Developer MVP
Sachin Namjoshi,2021,Community MVP,2021 Community MVP
Sanjiv Meher,2021,Community MVP,2021 Community MVP
Shiva Thomas,2021,Community MVP,2021 Community MVP
Steve Bell,2021,Community MVP,2021 Community MVP
Tony Chatfield,2021,Community MVP,2021 Community MVP
Travis Toulson,2021,Developer MVP,2021 Developer MVP
Vignesh M,2021,Community MVP,2021 Community MVP
Willem Zeiler,2021,Community MVP,2021 Community MVP
Aashish Atrey,2022,Developer MVP,2022 Developer MVP
Abhijit Chillal,2022,Rising Star,2022 Rising Star
Abhishek Gardade,2022,Community MVP,2022 Community MVP
Abirami Ramesh,2022,Rising Star,2022 Rising Star
Adam Stout,2022,Community MVP,2022 Community MVP
Adrián Úbeda-Portugues Casas,2022,Rising Star,2022 Rising Star
Alberto Consonni,2022,Community MVP,2022 Community MVP
Alikutty Karupamveetil,2022,Developer MVP,2022 Developer MVP
Alikutty Karupamveetil,2022,Community MVP,2022 Community MVP
Allen Andreas,2022,Community MVP,2022 Community MVP
Aman Singh,2022,Community MVP,2022 Community MVP
Amit Gujarathi,2022,Community MVP,2022 Community MVP
Anders Figenschow,2022,Developer MVP,2022 Developer MVP
Andrew Albury-Dor,2022,Developer MVP,2022 Developer MVP
Anil Kumar Varanasi,2022,Rising Star,2022 Rising Star
Anil Lande,2022,Community MVP,2022 Community MVP
Ankur Bawiskar,2022,Community MVP,2022 Community MVP
Anurag Tripathi,2022,Community MVP,2022 Community MVP
Ashutosh Munot,2022,Developer MVP,2022 Developer MVP
Ashutosh Munot,2022,Community MVP,2022 Community MVP
Asif Noor,2022,Community MVP,2022 Community MVP
Bala Krishna Mukka,2022,Rising Star,2022 Rising Star
Bessam Ammar,2022,Rising Star,2022 Rising Star
Brad Bowman,2022,Community MVP,2022 Community MVP
Brad Tilton,2022,Community MVP,2022 Community MVP
Brian Lancaster,2022,Community MVP,2022 Community MVP
Casey Barela,2022,Developer MVP,2022 Developer MVP
Chris D'Antonio,2022,Rising Star,2022 Rising Star
Chuck Tomasi,2022,Community MVP,2022 Community MVP
Cory CJ Wesley,2022,Developer MVP,2022 Developer MVP
Dave Hertel,2022,Rising Star,2022 Rising Star
David Dubuis,2022,Community MVP,2022 Community MVP
Dhruv Gupta,2022,Developer MVP,2022 Developer MVP
Dinesh Penumetcha,2022,Community MVP,2022 Community MVP
Dinesh Penumetcha,2022,Rising Star,2022 Rising Star
Dirk Redeker,2022,Community MVP,2022 Community MVP
Drew West,2022,Rising Star,2022 Rising Star
Elijah Aromola,2022,Community MVP,2022 Community MVP
Eric Riemer,2022,Developer MVP,2022 Developer MVP
Frank Tate,2022,Rising Star,2022 Rising Star
Gaurav Shirsat,2022,Community MVP,2022 Community MVP
Goran Lundqvist,2022,Community MVP,2022 Community MVP
Gunjan Kiratkar,2022,Rising Star,2022 Rising Star
Hardik Benani,2022,Rising Star,2022 Rising Star
Hardit Singh,2022,Rising Star,2022 Rising Star
Harkik Benani,2022,Developer MVP,2022 Developer MVP
Harsh Vardhan,2022,Community MVP,2022 Community MVP
Hitoshi Ozawa,2022,Rising Star,2022 Rising Star
Ishaan Shoor,2022,Developer MVP,2022 Developer MVP
Jace Benson,2022,Community MVP,2022 Community MVP
Jace Benson,2022,Developer MVP,2022 Developer MVP
Jacques Clement,2022,Rising Star,2022 Rising Star
Jagjeet Singh,2022,Rising Star,2022 Rising Star
Jarod Mundt,2022,Developer MVP,2022 Developer MVP
Jaspal Singh,2022,Community MVP,2022 Community MVP
John Feist,2022,Rising Star,2022 Rising Star
John Zhang,2022,Rising Star,2022 Rising Star
Kieran Anson,2022,Community MVP,2022 Community MVP
Kieran Anson,2022,Developer MVP,2022 Developer MVP
Kopal Garg,2022,Developer MVP,2022 Developer MVP
Lauren Methena,2022,Rising Star,2022 Rising Star
Maik Skoddow,2022,Community MVP,2022 Community MVP
Mark Roethof,2022,Community MVP,2022 Community MVP
Mark Roethof,2022,Developer MVP,2022 Developer MVP
Markus Nilsson,2022,Rising Star,2022 Rising Star
Martin Ivanov,2022,Rising Star,2022 Rising Star
MGOPW,2022,Developer MVP,2022 Developer MVP
Michael Fry,2022,Community MVP,2022 Community MVP
Michael Jones,2022,Community MVP,2022 Community MVP
Michael Ritchie,2022,Community MVP,2022 Community MVP
Miguel Donayre,2022,Community MVP,2022 Community MVP
Mike Patel,2022,Community MVP,2022 Community MVP
Mohit Kaushik,2022,Rising Star,2022 Rising Star
Muhammad Sharjeel,2022,Community MVP,2022 Community MVP
Muralidharan B S,2022,Rising Star,2022 Rising Star
Murthy Chintalapudi,2022,Rising Star,2022 Rising Star
Nia McCash,2022,Developer MVP,2022 Developer MVP
Nia McCash,2022,Rising Star,2022 Rising Star
Omkar Mone,2022,Community MVP,2022 Community MVP
Paige Duffey,2022,Developer MVP,2022 Developer MVP
Palani Kumar Murugesan,2022,Community MVP,2022 Community MVP
Paul Coste,2022,Rising Star,2022 Rising Star
Paul Morris,2022,Community MVP,2022 Community MVP
Paul Morris,2022,Developer MVP,2022 Developer MVP
Paul Pradap Chandru Prabudass,2022,Rising Star,2022 Rising Star
Philip Swann,2022,Developer MVP,2022 Developer MVP
Pradeep Sharma,2022,Community MVP,2022 Community MVP
Pranav Bhagat,2022,Community MVP,2022 Community MVP
Pranav Bhagat,2022,Developer MVP,2022 Developer MVP
Pranesh A,2022,Rising Star,2022 Rising Star
Prasad Pagar,2022,Community MVP,2022 Community MVP
Prateek Kumar,2022,Community MVP,2022 Community MVP
Preethi K R,2022,Rising Star,2022 Rising Star
Raghav Sharma,2022,Rising Star,2022 Rising Star
Raghu Ram,2022,Rising Star,2022 Rising Star
Rajesh Singh,2022,Rising Star,2022 Rising Star
Rana Baghdar,2022,Rising Star,2022 Rising Star
Robert Fedoruk,2022,Community MVP,2022 Community MVP
Rohila Voona,2022,Community MVP,2022 Community MVP
Sachin Namjoshi,2022,Community MVP,2022 Community MVP
Sai Kumar,2022,Rising Star,2022 Rising Star
Sandeep Dutta,2022,Rising Star,2022 Rising Star
Sanjiv Meher,2022,Community MVP,2022 Community MVP
Sarah Toulson,2022,Developer MVP,2022 Developer MVP
Saurav Maiti,2022,Rising Star,2022 Rising Star
Scott Halverson,2022,Rising Star,2022 Rising Star
Sebastian Kunzke,2022,Rising Star,2022 Rising Star
Sebastian Laursen,2022,Rising Star,2022 Rising Star
Sebastien Fix,2022,Rising Star,2022 Rising Star
Sergej S,2022,Rising Star,2022 Rising Star
Sharon Barnes,2022,Developer MVP,2022 Developer MVP
Shiva Thomas,2022,Community MVP,2022 Community MVP
Shloke Srivastava,2022,Community MVP,2022 Community MVP
Sohaill Khilji,2022,Rising Star,2022 Rising Star
Srikanth Perumandla,2022,Rising Star,2022 Rising Star
Steve Bell,2022,Community MVP,2022 Community MVP
Sufiyan Memon,2022,Rising Star,2022 Rising Star
Sumit Pandey,2022,Rising Star,2022 Rising Star
Susan Britt,2022,Community MVP,2022 Community MVP
Thameem Ansari,2022,Rising Star,2022 Rising Star
Tiffany Royer,2022,Developer MVP,2022 Developer MVP
Timothy Deniston,2022,Rising Star,2022 Rising Star
Tony Chatfield,2022,Community MVP,2022 Community MVP
Tony Krauter,2022,Rising Star,2022 Rising Star
Travis Toulson,2022,Developer MVP,2022 Developer MVP
Ujjawal Vishnoi,2022,Rising Star,2022 Rising Star
Vignesh M,2022,Community MVP,2022 Community MVP
Vinayak Belgaonkar,2022,Rising Star,2022 Rising Star
Vinodkumar Kachineni,2022,Rising Star,2022 Rising Star
Vivek Kumar,2022,Rising Star,2022 Rising Star
Vivek Sattanatha,2022,Rising Star,2022 Rising Star
Willem Zeiler,2022,Community MVP,2022 Community MVP
Abhijit Chillal,2023,Community MVP,2023 Community MVP
Abhishek Gardade,2023,Community MVP,2023 Community MVP
Adam Celli,2023,Developer MVP,2023 Developer MVP
Adefisayo Akande,2023,Rising Star,2023 Rising Star
Akif Shah,2023,Rising Star,2023 Rising Star
Alikutty Karupamveetil,2023,Community MVP,2023 Community MVP
Allen Andreas,2023,Community MVP,2023 Community MVP
Aman Kumar,2023,Community MVP,2023 Community MVP
Amit Gujarathi,2023,Developer MVP,2023 Developer MVP
Anders Figenschow,2023,Developer MVP,2023 Developer MVP
Anil Lande,2023,Community MVP,2023 Community MVP
Anirudh Kumar Murugesan,2023,Rising Star,2023 Rising Star
Anish Reghu,2023,Rising Star,2023 Rising Star
Ankita Mehta,2023,Rising Star,2023 Rising Star
Ankur Bawiskar,2023,Community MVP,2023 Community MVP
Anubhav Ritolia,2023,Rising Star,2023 Rising Star
Anurag Tripathi,2023,Community MVP,2023 Community MVP
Arav Sundareswaran,2023,Rising Star,2023 Rising Star
Ashutosh Munot,2023,Developer MVP,2023 Developer MVP
Ashutosh Munot,2023,Community MVP,2023 Community MVP
Asif Noor,2023,Community MVP,2023 Community MVP
Astrid Sapphire,2023,Developer MVP,2023 Developer MVP
Atul Grover,2023,Developer MVP,2023 Developer MVP
Bhavani Yenuganti,2023,Rising Star,2023 Rising Star
Brad Bowman,2023,Community MVP,2023 Community MVP
Brian Lancaster,2023,Community MVP,2023 Community MVP
Carleen Carter,2023,Developer MVP,2023 Developer MVP
Chris Helming,2023,Developer MVP,2023 Developer MVP
Cory CJ Wesley,2023,Developer MVP,2023 Developer MVP
David Dubuis,2023,Community MVP,2023 Community MVP
Dhruv Gupta,2023,Developer MVP,2023 Developer MVP
Ebony Akkebala,2023,Developer MVP,2023 Developer MVP
El Alami Taha,2023,Rising Star,2023 Rising Star
Elijah Aromola,2023,Community MVP,2023 Community MVP
Gunjan Kiratkar,2023,Community MVP,2023 Community MVP
Harneetsingh Sital,2023,Developer MVP,2023 Developer MVP
Harsh Vardhan,2023,Community MVP,2023 Community MVP
Ishaan Shoor,2023,Developer MVP,2023 Developer MVP
Jaspal Singh,2023,Community MVP,2023 Community MVP
Jenny Hu,2023,Rising Star,2023 Rising Star
Jerick Inovero,2023,Rising Star,2023 Rising Star
Jesalyn Smith,2023,Developer MVP,2023 Developer MVP
John Zhang,2023,Community MVP,2023 Community MVP
Kalyani Jangam,2023,Rising Star,2023 Rising Star
Kamlesh Kumar,2023,Rising Star,2023 Rising Star
Kieran Anson,2023,Community MVP,2023 Community MVP
Laszlo Balla,2023,Rising Star,2023 Rising Star
Lauren Methena,2023,Community MVP,2023 Community MVP
Logan Poynter,2023,Rising Star,2023 Rising Star
Ludmila Spector,2023,Rising Star,2023 Rising Star
Maik Skoddow,2023,Community MVP,2023 Community MVP
Maik Skoddow,2023,Developer MVP,2023 Developer MVP
Mark Roethof,2023,Community MVP,2023 Community MVP
Mark Roethof,2023,Developer MVP,2023 Developer MVP
Martin Ivanov,2023,Community MVP,2023 Community MVP
Martin Ivanov,2023,Developer MVP,2023 Developer MVP
